indicator_type,indicator_value,match_type,mitre_tactic_id,mitre_tactic,mitre_technique_id,mitre_technique,apt_group,severity,confidence,description,reference
process_name,powershell.exe,exact,TA0002,Execution,T1059.001,PowerShell,APT33|APT34|MuddyWater,high,medium,PowerShell execution - common across all Iranian APTs. Requires command-line analysis for attribution.,MITRE ATT&CK G0064/G0049/G0069
cmdline_pattern,.*-enc\s.*,regex,TA0002,Execution,T1059.001,PowerShell - Encoded Command,APT33|MuddyWater,critical,high,"Encoded PowerShell commands used by APT33 (POWERTON) and MuddyWater (POWERSTATS, DarkBeatC2).",Picus Security 2025; MITRE T1059.001
cmdline_pattern,.*-encodedcommand\s.*,regex,TA0002,Execution,T1059.001,PowerShell - Encoded Command,APT33|MuddyWater,critical,high,Full -encodedcommand flag variant.,MITRE T1059.001
cmdline_pattern,.*Net\.WebClient.*,regex,TA0002,Execution,T1059.001,PowerShell - Download Cradle,APT33|APT34|MuddyWater,critical,high,PowerShell download cradle - common initial payload delivery mechanism.,MITRE T1059.001
cmdline_pattern,.*DownloadString.*,regex,TA0002,Execution,T1059.001,PowerShell - Download Cradle,APT33|APT34|MuddyWater,critical,high,DownloadString method for payload retrieval.,MITRE T1059.001
cmdline_pattern,.*Invoke-WebRequest.*,regex,TA0002,Execution,T1059.001,PowerShell - Download Cradle,MuddyWater,high,medium,Invoke-WebRequest used in MuddyWater campaigns.,USCYBERCOM Alert Jan 2022
cmdline_pattern,.*Start-BitsTransfer.*,regex,TA0002,Execution,T1059.001,PowerShell - Download via BITS,MuddyWater,high,medium,BITS transfer abuse for payload download.,MITRE T1197
cmdline_pattern,.*Invoke-Expression.*|.*iex\s.*,regex,TA0005,Defense Evasion,T1059.001,PowerShell - IEX Execution,APT33|MuddyWater,high,medium,Invoke-Expression for in-memory execution.,MITRE T1059.001
cmdline_pattern,.*frombase64string.*,regex,TA0005,Defense Evasion,T1140,Deobfuscate/Decode,APT33|MuddyWater,high,medium,Base64 decoding in PowerShell - payload deobfuscation.,MITRE T1140
cmdline_pattern,.*POWERSTATS.*,regex,TA0011,Command and Control,T1059.001,POWERSTATS C2 Backdoor,MuddyWater,critical,high,MuddyWater POWERSTATS backdoor signature.,Trend Micro 2019; MITRE G0069
cmdline_pattern,.*DarkBeat.*,regex,TA0011,Command and Control,T1102,DarkBeatC2 Framework,MuddyWater,critical,high,"MuddyWater DarkBeatC2 framework (current generation, identified early 2024).",Deep Instinct 2024
cmdline_pattern,.*MuddyC2.*|.*MuddyC3.*,regex,TA0011,Command and Control,T1102,MuddyC2/C3 Framework,MuddyWater,critical,high,"MuddyWater legacy C2 frameworks (MuddyC3 Python 2, MuddyC2Go Golang).",MITRE G0069
cmdline_pattern,.*PhonyC2.*,regex,TA0011,Command and Control,T1102,PhonyC2 Framework,MuddyWater,critical,high,"MuddyWater PhonyC2 framework (Python 3, source code leaked).",MITRE G0069
process_name,mshta.exe,exact,TA0002,Execution,T1218.005,Mshta,MuddyWater,high,high,mshta.exe is MuddyWater primary LOLBin. Spawning PowerShell or cmd.exe is high-confidence indicator.,MITRE G0069; Picus 2025
process_name,regsvr32.exe,exact,TA0005,Defense Evasion,T1218.010,Regsvr32,MuddyWater,high,medium,regsvr32.exe proxy execution - MuddyWater LOLBin abuse.,MITRE G0069
process_name,rundll32.exe,exact,TA0005,Defense Evasion,T1218.011,Rundll32,MuddyWater|APT42,medium,medium,rundll32.exe abuse by MuddyWater and APT42 (Moses Staff overlap).,MITRE T1218.011
process_name,certutil.exe,exact,TA0005,Defense Evasion,T1140,Certutil Decode/Download,APT34|APT35,high,high,certutil.exe for file download and decode - APT34 and APT35 signature technique.,MITRE G0049; Trellix 2024
